Comprehensive Processed Phrases - za_bank_negative_comprehensive_processed_phrases.txt
'pop up all' (frequency: 2)
'day in interest' (frequency: 2)
'over 20 times,' (frequency: 2)
'20 times, still' (frequency: 2)
'soon as there' (frequency: 2)
'even though the' (frequency: 2)
'though the code' (frequency: 2)
'unable to move' (frequency: 2)
'switched to another' (frequency: 2)
'cannot download using' (frequency: 2)
'za ga coin' (frequency: 2)
'use za card' (frequency: 2)
'shown is wrong' (frequency: 2)
'plus re entering' (frequency: 2)
'not good, tell' (frequency: 2)
'right there but' (frequency: 2)
'back without any' (frequency: 2)
'without any extra' (frequency: 2)
'sms at spot' (frequency: 2)
'knows if they' (frequency: 2)
'if they contain' (frequency: 2)
't know how' (frequency: 2)
'how to rate' (frequency: 2)
'already installed the' (frequency: 2)
'open on android' (frequency: 2)
'failed to download' (frequency: 2)
'upgraded to android' (frequency: 2)
'close on android' (frequency: 2)
'11 on pixel' (frequency: 2)
'wanted to proceed' (frequency: 2)
'it says "cannot' (frequency: 2)
'that even mean' (frequency: 2)
'not hold there' (frequency: 2)
'hold there hand' (frequency: 2)
'there hand still' (frequency: 2)
'hand still long' (frequency: 2)
'work it rubbish' (frequency: 2)
'cash pay out' (frequency: 2)
'pay out scheme' (frequency: 2)
'action it is,' (frequency: 2)
'completed it correctly' (frequency: 2)
'fanboy company the' (frequency: 2)
'bad, no rooted' (frequency: 2)
'no rooted then' (frequency: 2)
'"waiting to download"' (frequency: 2)
'their hong kong' (frequency: 2)
'as a primary' (frequency: 2)
'recognition step has' (frequency: 2)
'about 12 times' (frequency: 2)
'nothing is loaded,' (frequency: 2)
'is loaded, including' (frequency: 2)
'ten times trash, do it properly first' (frequency: 2)
'difficult to setup' (frequency: 2)
'Just because the portraits aren't good, what's the point of promoting? No.' (frequency: 2)
'do the face recognition' (frequency: 2)
'almost 1 week' (frequency: 2)
'🙄🙄🙄 the facial' (frequency: 2)
'perfectly lit, perfectly' (frequency: 1)
'one of the worst' (frequency: 1)
'selfie” except it won’t' (frequency: 1)
'nothing in the background' (frequency: 1)
'unless it is perfectly,' (frequency: 1)
'perfectly angled, perfectly' (frequency: 1)
'timed, nothing in the' (frequency: 1)
'username name every' (frequency: 1)
'have to go through' (frequency: 1)
'few times already' (frequency: 1)
'sorry for the bad' (frequency: 1)
'since then, the' (frequency: 1)
'Please correct. 🙏🏻 if' (frequency: 1)
'use other purpose' (frequency: 1)
'enjoyed using previous' (frequency: 1)
'how about canceling the rebate' (frequency: 1)
'Better cancel the rebate how I' (frequency: 1)
'Print monthly statement cannot see name, address' (frequency: 1)
'only to find out' (frequency: 1)
'help at all terrible' (frequency: 1)
'must give the' (frequency: 1)
'times per day' (frequency: 1)
's all or nothing' (frequency: 1)
'responding all the time…' (frequency: 1)
'time… this is completely' (frequency: 1)
'cannot use the' (frequency: 1)
'while using wifi' (frequency: 1)
'clicked, the only thing' (frequency: 1)
'please fix the' (frequency: 1)
'need e-statements for' (frequency: 1)
'cant convert the' (frequency: 1)
'sheet since feb' (frequency: 1)
'has a thousand things' (frequency: 1)
'searching for 10 minutes' (frequency: 1)
'about finance not' (frequency: 1)
'it was originally very user' (frequency: 1)
'discounted loan rate' (frequency: 1)
'discount away at the' (frequency: 1)
'away at the final' (frequency: 1)
'Really annoying when you're in a hurry and can't use it, loading forever claims' (frequency: 1)
'same as topic' (frequency: 1)
'scanning id and face' (frequency: 1)
'id and face recognition' (frequency: 1)
'recognition is so annoying' (frequency: 1)
'Times trash, do it properly first.' (frequency: 1)
'scanner does not work' (frequency: 1)
'failed, had setup' (frequency: 1)
'plan to have another' (frequency: 1)
'as not to loss' (frequency: 1)
'not to loss new' (frequency: 1)
'people, voice over' (frequency: 1)
'deposit from other' (frequency: 1)
'small loan, it was' (frequency: 1)
'loan, it was rejected' (frequency: 1)
'rejected for no reason' (frequency: 1)
', so now finally' (frequency: 1)
'too bad, useless' (frequency: 1)
'associated with too many' (frequency: 1)
'signing up to the' (frequency: 1)
'face recognition simply' (frequency: 1)
'nose, mouth, etc' (frequency: 1)
'it keep saying' (frequency: 1)
'not be recognised 太廢了吧' (frequency: 1)
'07%, wasting users' time, trash. such a useless' (frequency: 1)
'be recognised is so lame' (frequency: 1)
'recognised so lame' (frequency: 1)
'recognised So lame, couldn't get the facial recognition to work after an hour.' (frequency: 1)
'is a full sacrifice' (frequency: 1)
'- it says' (frequency: 1)
'Trash certified 10 times' (frequency: 1)
'Trash certification 10 times, can't do it without ID photo.' (frequency: 1)
'Verified 10 times, can't do it without taking a photo of the ID.' (frequency: 1)
'It's either the ID photo doesn't work or the portrait doesn't work.' (frequency: 1)
'It's just that the portraits are no good, what's the point of promoting them?' (frequency: 1)
'better do a simpler' (frequency: 1)
'do a simpler scan' (frequency: 1)
'cos really stupid' (frequency: 1)
'gave up eventually,' (frequency: 1)
'id on one hand' (frequency: 1)
'hand moves twitches' (frequency: 1)
'twitches slightly too' (frequency: 1)
'after upgrade, tried' (frequency: 1)
'tried reinstall, also' (frequency: 1)
'cannot help how' (frequency: 1)
'card scanned then' (frequency: 1)
'back to the sms' (frequency: 1)
'card for 10 hours' (frequency: 1)
'hours and it keeps' (frequency: 1)
'totally not user' (frequency: 1)
'when opening the' (frequency: 1)
'completely not usable' (frequency: 1)
'giving hard time' (frequency: 1)
'back again always' (frequency: 1)
'(android 16 beta user)' (frequency: 1)
'phone which very inconvenient' (frequency: 1)
'a13 and not compatible' (frequency: 1)
'yet but only leave' (frequency: 1)
'ten times doing' (frequency: 1)
'even finally this' (frequency: 1)
'please hold on,' (frequency: 1)
'posting: regret opening' (frequency: 1)
'selfie more than one' (frequency: 1)
'times: just now tried' (frequency: 1)
'since the new' (frequency: 1)
'frustrating to register' (frequency: 1)
'when u make' (frequency: 1)
'too many nonsensical' (frequency: 1)
'day, like some' (frequency: 1)
'up and the flow' (frequency: 1)
'often interrupted by some' (frequency: 1)
'out of hk when' (frequency: 1)
'am in hk always' (frequency: 1)
'high even they' (frequency: 1)
't have hidden' (frequency: 1)
't know about' (frequency: 1)
'landlines has no customer' (frequency: 1)
'cant open and' (frequency: 1)
'hold on starting' (frequency: 1)
't access the' (frequency: 1)
't get to the' (frequency: 1)
't figure out' (frequency: 1)
'mode bro not' (frequency: 1)
'no dark mode,' (frequency: 1)
'bright for the eyes' (frequency: 1)
'after the new' (frequency: 1)
'$1000 horrible customer' (frequency: 1)
'user experience not' (frequency: 1)
'long what if its' (frequency: 1)
'matter need the' (frequency: 1)
's the worst' (frequency: 1)
'work 80% of the' (frequency: 1)
'80% of the time' (frequency: 1)
'click it, and' (frequency: 1)
'back amount this' (frequency: 1)
'people edit: this' (frequency: 1)
'credits to hard' (frequency: 1)
't provide formal' (frequency: 1)
'can not even open' (frequency: 1)
'almost 15hrs the' (frequency: 1)
'received 😕 the' (frequency: 1)
'pointless to not support' (frequency: 1)
'first and the worst;' (frequency: 1)
'unfriendly and the lowest' (frequency: 1)
'saving interest rate' (frequency: 1)
'among all virtual' (frequency: 1)
'said they would call' (frequency: 1)
'back, but of course' (frequency: 1)
'still not showing' (frequency: 1)
'showing properly on the' (frequency: 1)
'properly on the unfolded' (frequency: 1)
'need to give' (frequency: 1)
'try many time' (frequency: 1)
'qr code when' (frequency: 1)
'qr code for' (frequency: 1)
'too much spam' (frequency: 1)
'nov 3 - not' (frequency: 1)
'friendly and always' (frequency: 1)
'nov 7 - the' (frequency: 1)
'support samsung and' (frequency: 1)
't support virtual' (frequency: 1)
'support garmin pay' (frequency: 1)
'usable unable to access' (frequency: 1)
'unable to access fr' (frequency: 1)
'contacted the cs staff' (frequency: 1)
'able to do anything' (frequency: 1)
'little about this' (frequency: 1)
'think it is unfair' (frequency: 1)
'any spending, after' (frequency: 1)
'za coin, after' (frequency: 1)
'after that is set' (frequency: 1)
'is received even' (frequency: 1)
'after spending more' (frequency: 1)
'failed all the time' (frequency: 1)
'id and if recognised' (frequency: 1)
'rejects it, just' (frequency: 1)
'is there something' (frequency: 1)
'open longer, after' (frequency: 1)
's close instantly' (frequency: 1)
'card ist was' (frequency: 1)
'was delivered 😔' (frequency: 1)
'properly on a galaxy' (frequency: 1)
't bother using' (frequency: 1)
'use the card' (frequency: 1)
'time, keep failing' (frequency: 1)
'please improve the' (frequency: 1)
'scan the id from' (frequency: 1)
'id from mobile' (frequency: 1)
'mobile storage for' (frequency: 1)
'used, but now got' (frequency: 1)
'detection is the worst' (frequency: 1)
'recommend this to anyone' (frequency: 1)
'this to anyone around' (frequency: 1)
'when ask them' (frequency: 1)
'gamafication does not improve' (frequency: 1)
'all instructions given' (frequency: 1)
'they cannot refund' (frequency: 1)
'have a cancellation immidiately' (frequency: 1)
'notice to miss' (frequency: 1)
'cannot open tge' (frequency: 1)
'is stuck there' (frequency: 1)
's been a year' (frequency: 1)
'been a year since' (frequency: 1)
'most specially when' (frequency: 1)
'abnormal what ıs that' (frequency: 1)
'access with this device"' (frequency: 1)
'come the latest' (frequency: 1)
'2 with so many' (frequency: 1)
'lags can be released' (frequency: 1)
'do the same, grrr,' (frequency: 1)
'times do u have' (frequency: 1)
'is a bit worrying' (frequency: 1)
'because the only way' (frequency: 1)
'want to fit' (frequency: 1)
'advertisement of 5 minute' (frequency: 1)
'3665 was too bad' (frequency: 1)
'cannot talk to them' (frequency: 1)
'say yes, it will' (frequency: 1)
'yes, it will keep' (frequency: 1)
'whenever they want' (frequency: 1)
'without any reason' (frequency: 1)
'times the id keep' (frequency: 1)
'stays on the policy' (frequency: 1)
't complete photo' (frequency: 1)
'enough time and' (frequency: 1)
'as some virtual' (frequency: 1)
'actually do so yet' (frequency: 1)
'more reviews seems' (frequency: 1)
'please look into' (frequency: 1)
'choice so far' (frequency: 1)
'hours captured the' (frequency: 1)
'card no matter' (frequency: 1)
'more like scan' (frequency: 1)
'id for 30 minutes' (frequency: 1)
'start all the way' (frequency: 1)
'all the way from' (frequency: 1)
'2 zxszzz and' (frequency: 1)
'card from june' (frequency: 1)
's saying wrong' (frequency: 1)
'bind with the tap' (frequency: 1)
'trying for 2 hours' (frequency: 1)
'hand are numb' (frequency: 1)
'numb already but' (frequency: 1)
'yet complete the' (frequency: 1)
't allow email' (frequency: 1)
'Still not optimized better than Samsung.' (frequency: 1)
'Already used the za card' (frequency: 1)
'hkma open again' (frequency: 1)
'how do it pls' (frequency: 1)
'hkid for 4 days' (frequency: 1)
'now, but still' (frequency: 1)
't resolve the' (frequency: 1)
'photo was so bad' (frequency: 1)
'hi im a little' (frequency: 1)
'im a little upset' (frequency: 1)
'upset is so difficult' (frequency: 1)
'have a za coin' (frequency: 1)
'coin number so that' (frequency: 1)
'already give upgew' (frequency: 1)
'if the face' (frequency: 1)
'recognition is so poor,' (frequency: 1)
'then please either' (frequency: 1)
'diable it or use' (frequency: 1)
'it or use another' (frequency: 1)
'doesnt support android' (frequency: 1)
'use the finance' (frequency: 1)
'like this。 this' (frequency: 1)
'0 star for' (frequency: 1)
'u ckearly dont' (frequency: 1)
'dont want customer' (frequency: 1)
'develop such a bad' (frequency: 1)
'it deducted $150' (frequency: 1)
'it anywhere ,' (frequency: 1)
', very bad,' (frequency: 1)
'bad, looks like' (frequency: 1)
'many times says' (frequency: 1)
'entered the right' (frequency: 1)
'used says the' (frequency: 1)
't know what' (frequency: 1)
'people to go through' (frequency: 1)
'these to sign up,' (frequency: 1)
'make sure the' (frequency: 1)
'up for other virtual' (frequency: 1)
'easily because of the' (frequency: 1)
'because of the face' (frequency: 1)
'scan,,, tried many' (frequency: 1)
'email always invalid' (frequency: 1)
'勁煩！ cannot face' (frequency: 1)
'not recommend definitely' (frequency: 1)
'definitely remove the' (frequency: 1)
'make any scheduled' (frequency: 1)
'Damn annoying! cannot' (frequency: 1)
'beard and the software' (frequency: 1)
'cant recognize it and' (frequency: 1)
'recognize it and keep' (frequency: 1)
'it and keep askinge' (frequency: 1)
'keep askinge to not' (frequency: 1)
'moth and nose' (frequency: 1)
'hour doing the face' (frequency: 1)
'doing the face scan' (frequency: 1)
'no google pay' (frequency: 1)
'keyboard is so difficult' (frequency: 1)
'advertise just only need' (frequency: 1)
'accont that is completly' (frequency: 1)
'right then face' (frequency: 1)
't get it,' (frequency: 1)
'it, keep saying' (frequency: 1)
'out scan again' (frequency: 1)
't see the' (frequency: 1)
'am short sight' (frequency: 1)
't see everything' (frequency: 1)
'spams all day' (frequency: 1)
'after blocking the' (frequency: 1)
'up all day' (frequency: 1)
'without opening the' (frequency: 1)
'benefit of few cents' (frequency: 1)
'sneaky t&c for' (frequency: 1)
'perk is that there' (frequency: 1)
'there are no fees' (frequency: 1)
'there are other virtual' (frequency: 1)
'unable to recognize' (frequency: 1)
'work well for people' (frequency: 1)
'well for people roaming' (frequency: 1)
'new phone because' (frequency: 1)
'because stucking on the' (frequency: 1)
'stucking on the stupid' (frequency: 1)
'make it so difficult' (frequency: 1)
'download using huawei' (frequency: 1)
'got stuck in the' (frequency: 1)
'end it just say' (frequency: 1)
'clothing but the shipping' (frequency: 1)
'za card cannot' (frequency: 1)
'cannot buy online' (frequency: 1)
'from overseas just' (frequency: 1)
'think face scan' (frequency: 1)
'scan frame is too' (frequency: 1)
'frame is too small' (frequency: 1)
'think the id scanning' (frequency: 1)
'good, tell the' (frequency: 1)
'there but not asking' (frequency: 1)
'again and again' (frequency: 1)
'any extra useless' (frequency: 1)
'useless charge 🤦' (frequency: 1)
't work at all' (frequency: 1)
'work at all unable' (frequency: 1)
'use at alipay' (frequency: 1)
'when click open' (frequency: 1)
'play, and who knows' (frequency: 1)
'install it but android' (frequency: 1)
'it but android updwte' (frequency: 1)
'cannot open tue' (frequency: 1)
'yo manage the' (frequency: 1)
's, after android' (frequency: 1)
'why the new' (frequency: 1)
'after andriod upgrade' (frequency: 1)
'cannot open thd' (frequency: 1)
'installed the latest' (frequency: 1)
'no longer wroks' (frequency: 1)
'can noy open' (frequency: 1)
'android can not open' (frequency: 1)
'apk does not work' (frequency: 1)
'no longer launch' (frequency: 1)
'after installing android' (frequency: 1)
't even use' (frequency: 1)
'anymore on android' (frequency: 1)
'11 cannot access' (frequency: 1)
'use it in android' (frequency: 1)
'glad if the' (frequency: 1)
'11 asap not' (frequency: 1)
'reply emails at all' (frequency: 1)
'followed all the steps' (frequency: 1)
'scheme but it says' (frequency: 1)
'worst onboarding and' (frequency: 1)
'people can not hold' (frequency: 1)
'long and the small' (frequency: 1)
'window it a joke' (frequency: 1)
'broken in to three' (frequency: 1)
'stages not in one' (frequency: 1)
'face id for samsung' (frequency: 1)
'id for samsung s20' (frequency: 1)
'another 🍎 fanboy' (frequency: 1)
'company the face' (frequency: 1)
'nose & mouth' (frequency: 1)
'shave just to sign' (frequency: 1)
's a virtual' (frequency: 1)
'pass the id scan' (frequency: 1)
'make it very difficult' (frequency: 1)
'forever, could never' (frequency: 1)
'never download the' (frequency: 1)
'scan is very terrible' (frequency: 1)
't recognize the' (frequency: 1)
'live "chat" in the' (frequency: 1)
'not a chat -' (frequency: 1)
'chat - it just' (frequency: 1)
'- it just tells' (frequency: 1)
'hong kong number' (frequency: 1)
's midnight over' (frequency: 1)
'there right now' (frequency: 1)
'ldn-tl10 or mi mix' (frequency: 1)
'turn or or pop-up' (frequency: 1)
'onboarding was painful,' (frequency: 1)
'especially with the facial' (frequency: 1)
't have a lot' (frequency: 1)
'step has failed' (frequency: 1)
'already and it keeps' (frequency: 1)
'just in 5 min' (frequency: 1)
'nerve wrecking for' (frequency: 1)
't stand typos' (frequency: 1)
'strange time out' (frequency: 1)
'complicated and the promotional' (frequency: 1)
'Been trying for ages and still can't the' (frequency: 1)
